,Time stamps (secs),Mean of events,1,2,3,4
Time of event onset (secs),,,74.55653888,395.81188096,869.05946112,1293.55546624
Max values,,,2.333469,4.5973816,4.298629,4.4929686
Time of max values,,,0.3219197935616034,0.911743781765125,1.304959773900805,8.579455628410887
Max value above 1?,,,Yes,Yes,Yes,Yes
Filename,,,NAc_3147K_2614K-211118-105517,NAc_3147K_2614K-211118-105517,NAc_3147K_2614K-211118-105517,NAc_3147K_2614K-211118-105517
Custom name,,,Peri-event_other,Peri-event_other,Peri-event_other,Peri-event_other
,0.027007799459845216,0.9412964,-0.3681397,1.6056244,2.2224262,0.30527464
,0.12531179749376342,1.1499845,0.09798386,1.6575059,2.59312,0.25132817
,0.2236157955276834,1.5854348,-0.06436286,3.2984188,2.5102983,0.59738487
,0.3219197935616034,2.4055336,2.333469,2.733182,2.8630118,1.6924714
,0.42022379159552514,1.956587,2.3084192,3.4645576,2.4822433,-0.42887264
,0.5185277896294433,1.6481005,1.5516908,3.0673094,1.8792038,0.09419757
,0.6168317876633633,1.5456264,1.1180305,3.1556451,2.6057932,-0.6969634
,0.7151357856972851,1.7599958,1.3480326,3.3621306,3.4290006,-1.0991806
,0.8134397837312051,2.1750352,1.9094093,3.7363217,2.9584737,0.09593638
,0.911743781765125,2.4711175,1.0659949,4.5973816,3.3247414,0.89635307
,1.0100477797990433,1.6790794,1.6239407,1.7482696,3.420919,-0.07681114
,1.108351777832965,1.8961875,1.0419785,3.7274072,2.7569687,0.05839525
,1.206655775866885,1.4425642,1.427977,0.9982943,2.9371903,0.40679556
,1.304959773900805,2.2691479,1.5653242,3.1305587,4.298629,0.08207986
,1.403263771934725,1.5188758,0.83826005,2.1609704,3.2845857,-0.20831311
,1.501567769968645,1.8288264,0.3269827,3.3858042,3.9212735,-0.31875488
,1.599871768002565,1.1156192,1.2385039,1.305768,2.9498634,-1.0316584
,1.698175766036485,1.2340897,1.1635253,1.6809996,2.9841063,-0.89227235
,1.7964797640704049,1.1696001,1.3662807,1.5240709,3.159219,-1.3711702
,1.8947837621043249,1.2629949,0.50230074,1.3898907,3.776539,-0.6167511
,1.9930877601382448,0.860618,1.4365743,0.91580296,2.8062742,-1.7161793
,2.091391758172165,2.1408901,1.6349959,4.217397,4.006121,-1.294954
,2.189695756206085,0.48549932,0.88655376,0.77241284,2.4348426,-2.1518118
,2.287999754240005,1.2810209,1.5505371,1.6725732,2.825862,-0.9248886
,2.3863037522739248,0.4600834,0.5607367,0.17517893,2.2397788,-1.1353608
,2.4846077503078448,1.2702403,0.8086057,1.8917367,2.953651,-0.5730323
,2.5829117483417665,1.2286546,1.0791769,1.8169781,2.8375223,-0.8190585
,2.6812157463756847,0.843152,0.97298884,0.9932719,2.284515,-0.8781674
,2.7795197444096065,1.3200772,0.79251444,0.8402865,1.9032068,1.744301
,2.8778237424435247,0.8707666,1.6464725,0.7878527,1.8041115,-0.7553703
,2.9761277404774447,1.7484565,1.0746524,4.0906415,2.6442642,-0.81573206
,3.0744317385113664,0.65455145,0.43328103,2.282421,2.153709,-2.2512052
,3.1727357365452846,1.1641738,-0.15606473,1.474373,2.6466205,0.69176686
,3.2710397345792046,0.869974,-0.05904594,2.1815226,1.7103893,-0.3529696
,3.3693437326131264,1.286914,0.46055785,2.8769574,2.8567138,-1.0465733
,3.4676477306470446,0.8845323,0.67758864,1.8327262,2.5770776,-1.5492637
,3.5659517286809663,0.9533397,0.054766305,1.5318677,2.8568678,-0.6301432
,3.6642557267148863,0.32735053,-0.15230276,-0.030484308,2.33153,-0.83934104
,3.7625597247488045,0.31633708,-0.500802,0.51432866,2.9704201,-1.7185985
,3.8608637227827263,0.9144353,-0.1329311,0.38921717,2.495544,0.90591115
,3.9591677208166445,0.8083538,-0.17203556,1.6888351,2.1293206,-0.41270489
,4.0574717188505645,0.5663022,-1.3555022,2.3717332,2.8770392,-1.6280613
